Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,NbGoals,NbObstructions,NbObstacles,Mean,Error,StdDev,Median
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,35.801 us,1.4508 us,4.2777 us,35.882 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,69.434 us,0.3931 us,0.3485 us,69.380 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10,3.654 us,0.0070 us,0.0065 us,3.654 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,443.511 us,1.6486 us,1.4614 us,443.051 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,845.454 us,1.5620 us,1.3846 us,845.612 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,100,26.827 us,0.0607 us,0.0568 us,26.830 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,"34,762.113 us",87.0031 us,81.3828 us,"34,716.778 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,"85,092.931 us",203.1771 us,190.0520 us,"85,099.288 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,1000,298.534 us,1.5540 us,1.4536 us,298.034 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"3,426,715.260 us","10,200.2632 us","9,541.3316 us","3,424,200.003 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"13,243,373.829 us","1,731,770.5363 us","1,778,400.6727 us","12,300,876.353 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,10,10000,"3,403.930 us",67.6211 us,136.5980 us,"3,363.580 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10,NA,NA,NA,NA
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,456.045 us,2.7158 us,2.5404 us,455.656 us
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,821.463 us,16.3093 us,21.2067 us,811.616 us
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,100,27.272 us,0.0796 us,0.0706 us,27.287 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,"34,887.054 us",168.5884 us,149.4492 us,"34,879.415 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,"84,341.162 us",978.6190 us,915.4008 us,"84,199.303 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,1000,296.583 us,1.8414 us,1.7224 us,296.618 us
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"3,419,830.209 us","4,214.1644 us","3,519.0178 us","3,420,166.916 us"
BDDBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"12,432,859.625 us","67,000.6895 us","62,672.4804 us","12,424,552.593 us"
BDDBasedComputationPrebuilt,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,100,10000,"3,293.144 us",17.9898 us,16.8277 us,"3,297.361 us"
PatternBasedComputation,Default,False,Default,Default,Default,Default,Default,Default,0,LegacyJit,X64,Mono,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,10,1000,10,NA,NA,NA,NA
