date,achieve_incident_resolved
6:48:18,0.9369
6:48:28,0.937
6:48:38,0.9372
6:48:48,0.9373
6:48:58,0.9374
6:49:08,0.9376
6:49:18,0.9379
6:49:28,0.938
6:49:38,0.9382
6:49:48,0.9383
6:49:58,0.9385
6:50:08,0.9387
6:50:18,0.9388
6:50:28,0.9389
6:50:38,0.9391
6:50:48,0.9392
6:50:58,0.9393
6:51:08,0.9394
6:51:18,0.9396
6:51:28,0.9397
6:51:38,0.9398
6:51:48,0.94
6:51:58,0.9401
6:52:08,0.9402
6:52:18,0.9403
6:52:28,0.9404
6:52:38,0.9405
6:52:48,0.9406
6:52:58,0.9406
6:53:08,0.9407
6:53:18,0.9413
6:53:28,0.9415
6:53:38,0.9416
6:53:48,0.9417
6:53:58,0.9418
6:54:08,0.9419
6:54:18,0.942
6:54:28,0.9421
6:54:38,0.9422
6:54:48,0.9423
6:54:58,0.9424
6:55:08,0.9425
6:55:18,0.9432
6:55:28,0.9433
6:55:38,0.9434
6:55:48,0.9436
6:55:58,0.9437
6:56:08,0.9438
6:56:18,0.944
6:56:28,0.9441
6:56:38,0.9442
6:56:48,0.9443
6:56:58,0.9444
6:57:08,0.9445
6:57:18,0.9446
6:57:28,0.9447
6:57:38,0.9449
6:57:48,0.945
6:57:58,0.9451
6:58:08,0.9452
6:58:18,0.9453
6:58:28,0.9454
6:58:38,0.9455
6:58:48,0.9456
6:58:58,0.9457
6:59:08,0.9458
6:59:18,0.9462
6:59:28,0.9463
6:59:38,0.9464
6:59:48,0.9465
6:59:58,0.9466
7:00:08,0.9467
7:00:18,0.9469
7:00:28,0.947
7:00:38,0.9471
7:00:48,0.9472
7:00:58,0.9473
7:01:08,0.9474
7:01:18,0.9475
7:01:28,0.9476
7:01:38,0.9477
7:01:48,0.9477
7:01:58,0.9478
7:02:08,0.9479
7:02:18,0.948
7:02:28,0.9481
7:02:38,0.9481
7:02:48,0.9482
7:02:58,0.9483
7:03:08,0.9484
7:03:18,0.9488
7:03:28,0.9489
7:03:38,0.949
7:03:48,0.9491
7:03:58,0.9492
7:04:08,0.9493
7:04:18,0.9496
7:04:28,0.9497
7:04:38,0.9498
7:04:48,0.9499
7:04:58,0.95
7:05:08,0.9501
7:05:18,0.9502
7:05:28,0.9503
7:05:38,0.9504
7:05:48,0.9505
7:05:58,0.9506
7:06:08,0.9507
7:06:18,0.9508
7:06:28,0.9509
7:06:38,0.951
7:06:48,0.9511
7:06:58,0.9512
7:07:08,0.9513
7:07:18,0.9514
7:07:28,0.9514
7:07:38,0.9515
7:07:48,0.9516
7:07:58,0.9517
7:08:08,0.9518
7:08:18,0.9518
7:08:28,0.9519
7:08:38,0.952
7:08:48,0.9521
7:08:58,0.9521
7:09:08,0.9522
7:09:18,0.9526
7:09:28,0.9527
7:09:38,0.9528
7:09:48,0.9529
7:09:58,0.953
7:10:08,0.953
7:10:18,0.9531
7:10:28,0.9532
7:10:38,0.9533
7:10:48,0.9534
7:10:58,0.9535
7:11:08,0.9536
7:11:18,0.9537
7:11:28,0.9537
7:11:38,0.9538
7:11:48,0.9539
7:11:58,0.954
7:12:08,0.9541
7:12:18,0.9542
7:12:28,0.9543
7:12:38,0.9543
7:12:48,0.9544
7:12:58,0.9545
7:13:08,0.9546
7:13:18,0.9547
7:13:28,0.9548
7:13:38,0.9549
7:13:48,0.955
7:13:58,0.9551
7:14:08,0.9552
7:14:18,0.9552
7:14:28,0.9553
7:14:38,0.9554
7:14:48,0.9555
7:14:58,0.9555
7:15:08,0.9556
7:15:18,0.9557
7:15:28,0.9557
7:15:38,0.9558
7:15:48,0.9559
7:15:58,0.9559
7:16:08,0.956
7:16:18,0.956
7:16:28,0.9561
