date,avoid_ambulance_mobilized_on_road
4:00:00,1
4:00:10,1
4:00:20,1
4:00:30,1
4:00:40,1
4:00:50,1
4:01:00,1
4:01:10,1
4:01:20,1
4:01:30,1
4:01:40,1
4:01:50,1
4:02:00,1
4:02:10,1
4:02:20,1
4:02:30,1
4:02:40,1
4:02:50,1
4:03:00,1
4:03:10,1
4:03:20,1
4:03:30,1
4:03:40,1
4:03:50,1
4:04:00,1
4:04:10,1
4:04:20,1
4:04:30,1
4:04:40,1
4:04:50,1
4:05:00,1
4:05:10,1
4:05:20,1
4:05:30,1
4:05:40,1
4:05:50,1
4:06:00,1
4:06:10,1
4:06:20,1
4:06:30,1
4:06:40,1
4:06:50,1
4:07:00,1
4:07:10,1
4:07:20,1
4:07:30,1
4:07:40,1
4:07:50,1
4:08:00,1
4:08:10,1
4:08:20,1
4:08:30,1
4:08:40,1
4:08:50,1
4:09:00,1
4:09:10,1
4:09:20,1
4:09:30,1
4:09:40,1
4:09:50,1
4:10:00,1
4:10:10,1
4:10:20,1
4:10:30,1
4:10:40,1
4:10:50,1
4:11:00,1
4:11:10,1
4:11:20,1
4:11:30,1
4:11:40,1
4:11:50,1
4:12:00,1
4:12:10,1
4:12:20,1
4:12:30,1
4:12:40,1
4:12:50,1
4:13:00,1
4:13:10,1
4:13:20,1
4:13:30,1
4:13:40,1
4:13:50,1
4:14:00,1
4:14:10,1
4:14:20,1
4:14:30,1
4:14:40,1
4:14:50,1
4:15:00,1
4:15:10,1
4:15:20,1
4:15:30,1
4:15:40,1
4:15:50,1
4:16:00,1
4:16:10,1
4:16:20,1
4:16:30,1
4:16:40,1
4:16:50,1
4:17:00,1
4:17:10,1
4:17:20,1
4:17:30,1
4:17:40,1
4:17:50,1
4:18:00,1
4:18:10,1
4:18:20,1
4:18:30,1
4:18:40,1
4:18:50,1
4:19:00,1
4:19:10,1
4:19:20,1
4:19:30,1
4:19:40,1
4:19:50,1
4:20:00,1
4:20:10,1
4:20:20,1
4:20:30,1
4:20:40,1
4:20:50,1
4:21:00,1
4:21:10,1
4:21:20,1
4:21:30,1
4:21:40,1
4:21:50,1
4:22:00,1
4:22:10,1
4:22:20,1
4:22:30,1
4:22:40,1
4:22:50,1
4:23:00,1
4:23:10,1
4:23:20,1
4:23:30,1
4:23:40,1
4:23:50,1
4:24:00,1
4:24:10,1
4:24:20,1
4:24:30,1
4:24:40,1
4:24:50,1
4:25:00,1
4:25:10,1
4:25:20,1
4:25:30,1
4:25:40,1
4:25:50,1
4:26:00,1
4:26:10,1
4:26:20,1
4:26:30,1
4:26:40,1
4:26:50,1
4:27:00,1
4:27:10,1
4:27:20,1
4:27:30,1
4:27:40,1
4:27:50,1
4:28:00,1
4:28:10,1
4:28:20,1
4:28:30,1
4:28:40,1
4:28:50,1
4:29:00,1
4:29:10,1
4:29:20,1
4:29:30,1
4:29:40,1
4:29:50,1
4:30:00,1
4:30:10,1
4:30:20,1
4:30:30,1
4:30:40,1
4:30:50,1
4:31:00,1
4:31:10,1
4:31:20,1
4:31:30,1
4:31:40,1
4:31:50,0.9938
4:32:00,0.9877
4:32:10,0.9817
4:32:20,0.9758
4:32:30,0.9699
4:32:40,0.9641
4:32:50,0.9583
4:33:00,0.9527
4:33:10,0.9471
4:33:20,0.9415
4:33:30,0.936
4:33:40,0.9306
4:33:50,0.9253
4:34:00,0.92
4:34:10,0.9153
4:34:20,0.9106
4:34:30,0.9061
4:34:40,0.9066
4:34:50,0.9071
4:35:00,0.9076
4:35:10,0.9081
4:35:20,0.9086
4:35:30,0.9091
4:35:40,0.9096
4:35:50,0.9101
4:36:00,0.9105
4:36:10,0.911
4:36:20,0.9115
4:36:30,0.9119
4:36:40,0.9124
4:36:50,0.9128
4:37:00,0.9133
4:37:10,0.9137
4:37:20,0.9141
4:37:30,0.9146
4:37:40,0.915
4:37:50,0.9154
4:38:00,0.9158
4:38:10,0.9163
4:38:20,0.9167
4:38:30,0.9171
4:38:40,0.9175
4:38:50,0.9179
4:39:00,0.9183
4:39:10,0.9187
4:39:20,0.919
4:39:30,0.9194
