date,locals_warned_when_risk_imminent,dusty_environment,sd_dusty_environment,echo,sd_echo,depth_broken,sd_depth_broken,ultrasound_broken,sd_ultrasound_broken,noisy_image,sd_noisy_image,voice_down,sd_voice_down
2017-06-30 07:53:38.4164110,0.408,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:39.3922920,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:40.3894540,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:41.3900950,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:42.3915090,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:43.3919420,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:44.3926850,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:45.3937880,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:46.3953580,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:47.3966060,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:48.3980580,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:49.3994780,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:50.4010160,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:51.4016280,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:52.4028530,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:53.4050190,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:54.4064730,1,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:55.4078190,1,0.142857142857143,0.132260014253222,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:56.4102110,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:57.4105870,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:58.4112050,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:53:59.4137000,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:54:00.4152530,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:54:01.4169540,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:54:02.4183070,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
2017-06-30 07:54:03.4198920,1,0.1,0.0948683298050514,0,0,0,0,0,0,0,0,0,0
