Probability;Severity;Risks
0.25;0.75;o_relay_broken;1
0.26;0.74;o_pump_leak;1
0.14;0.86;o_pump_broken;1
0.09;0.91;o_empty_reserve;1
0.03;1;o_power_outage;1
0.08;1;o_critical_battery;1
0.012;0.988;o_faulty_code;1
0.018;0.982;o_compromised_system;1
0.065;0.555;o_relay_broken,o_pump_leak;2
0.035;0.645;o_relay_broken,o_pump_broken;2
0.0225;0.6825;o_relay_broken,o_empty_reserve;2
0.0075;0.75;o_relay_broken,o_power_outage;2
0.02;0.75;o_relay_broken,o_critical_battery;2
0.003;0.741;o_relay_broken,o_faulty_code;2
0.0045;0.7365;o_relay_broken,o_compromised_system;2
0.0364;0.6364;o_pump_leak,o_pump_broken;2
0.0234;0.6734;o_pump_leak,o_empty_reserve;2
0.0078;0.74;o_pump_leak,o_power_outage;2
0.0208;0.74;o_pump_leak,o_critical_battery;2
0.00312;0.73112;o_pump_leak,o_faulty_code;2
0.00468;0.72668;o_pump_leak,o_compromised_system;2
0.0126;0.7826;o_pump_broken,o_empty_reserve;2
0.0042;0.86;o_pump_broken,o_power_outage;2
0.0112;0.86;o_pump_broken,o_critical_battery;2
0.00168;0.84968;o_pump_broken,o_faulty_code;2
0.00252;0.84452;o_pump_broken,o_compromised_system;2
0.0027;0.91;o_empty_reserve,o_power_outage;2
0.0072;0.91;o_empty_reserve,o_critical_battery;2
0.00108;0.89908;o_empty_reserve,o_faulty_code;2
0.00162;0.89362;o_empty_reserve,o_compromised_system;2
0.0024;0.9976;o_power_outage,o_critical_battery;2
0.00036;0.988;o_power_outage,o_faulty_code;2
0.00054;0.982;o_power_outage,o_compromised_system;2
0.00096;0.988;o_critical_battery,o_faulty_code;2
0.00144;0.982;o_critical_battery,o_compromised_system;2
0.000216;0.970216;o_faulty_code,o_compromised_system;2
0.0091;0.4773;o_relay_broken,o_pump_leak,o_pump_broken;3
0.00585;0.50505;o_relay_broken,o_pump_leak,o_empty_reserve;3
0.00195;0.555;o_relay_broken,o_pump_leak,o_power_outage;3
0.0052;0.555;o_relay_broken,o_pump_leak,o_critical_battery;3
0.00078;0.54834;o_relay_broken,o_pump_leak,o_faulty_code;3
0.00117;0.54501;o_relay_broken,o_pump_leak,o_compromised_system;3
0.00315;0.58695;o_relay_broken,o_pump_broken,o_empty_reserve;3
0.00105;0.645;o_relay_broken,o_pump_broken,o_power_outage;3
0.0028;0.645;o_relay_broken,o_pump_broken,o_critical_battery;3
0.00042;0.63726;o_relay_broken,o_pump_broken,o_faulty_code;3
0.00063;0.63339;o_relay_broken,o_pump_broken,o_compromised_system;3
0.000675;0.6825;o_relay_broken,o_empty_reserve,o_power_outage;3
0.0018;0.6825;o_relay_broken,o_empty_reserve,o_critical_battery;3
0.00027;0.67431;o_relay_broken,o_empty_reserve,o_faulty_code;3
0.000405;0.670215;o_relay_broken,o_empty_reserve,o_compromised_system;3
0.0006;0.7482;o_relay_broken,o_power_outage,o_critical_battery;3
0.00009;0.741;o_relay_broken,o_power_outage,o_faulty_code;3
0.000135;0.7365;o_relay_broken,o_power_outage,o_compromised_system;3
0.00024;0.741;o_relay_broken,o_critical_battery,o_faulty_code;3
0.00036;0.7365;o_relay_broken,o_critical_battery,o_compromised_system;3
0.000054;0.727662;o_relay_broken,o_faulty_code,o_compromised_system;3
0.003276;0.579124;o_pump_leak,o_pump_broken,o_empty_reserve;3
0.001092;0.6364;o_pump_leak,o_pump_broken,o_power_outage;3
0.002912;0.6364;o_pump_leak,o_pump_broken,o_critical_battery;3
0.0004368;0.6287632;o_pump_leak,o_pump_broken,o_faulty_code;3
0.0006552;0.6249448;o_pump_leak,o_pump_broken,o_compromised_system;3
0.000702;0.6734;o_pump_leak,o_empty_reserve,o_power_outage;3
0.001872;0.6734;o_pump_leak,o_empty_reserve,o_critical_battery;3
0.0002808;0.6653192;o_pump_leak,o_empty_reserve,o_faulty_code;3
0.0004212;0.6612788;o_pump_leak,o_empty_reserve,o_compromised_system;3
0.000624;0.738224;o_pump_leak,o_power_outage,o_critical_battery;3
0.0000936;0.73112;o_pump_leak,o_power_outage,o_faulty_code;3
0.0001404;0.72668;o_pump_leak,o_power_outage,o_compromised_system;3
0.0002496;0.73112;o_pump_leak,o_critical_battery,o_faulty_code;3
0.0003744;0.72668;o_pump_leak,o_critical_battery,o_compromised_system;3
0.0000562;0.7179598;o_pump_leak,o_faulty_code,o_compromised_system;3
0.000378;0.7826;o_pump_broken,o_empty_reserve,o_power_outage;3
0.001008;0.7826;o_pump_broken,o_empty_reserve,o_critical_battery;3
0.0001512;0.7732088;o_pump_broken,o_empty_reserve,o_faulty_code;3
0.0002268;0.7685132;o_pump_broken,o_empty_reserve,o_compromised_system;3
0.000336;0.857936;o_pump_broken,o_power_outage,o_critical_battery;3
0.0000504;0.84968;o_pump_broken,o_power_outage,o_faulty_code;3
0.0000756;0.84452;o_pump_broken,o_power_outage,o_compromised_system;3
0.0001344;0.84968;o_pump_broken,o_critical_battery,o_faulty_code;3
0.0002016;0.84452;o_pump_broken,o_critical_battery,o_compromised_system;3
0.0000302;0.8343858;o_pump_broken,o_faulty_code,o_compromised_system;3
0.000216;0.907816;o_empty_reserve,o_power_outage,o_critical_battery;3
0.0000324;0.89908;o_empty_reserve,o_power_outage,o_faulty_code;3
0.0000486;0.89362;o_empty_reserve,o_power_outage,o_compromised_system;3
0.0000864;0.89908;o_empty_reserve,o_critical_battery,o_faulty_code;3
0.0001296;0.89362;o_empty_reserve,o_critical_battery,o_compromised_system;3
0.0000194;0.8828966;o_empty_reserve,o_faulty_code,o_compromised_system;3
0.0000288;0.9856288;o_power_outage,o_critical_battery,o_faulty_code;3
0.0000432;0.9796432;o_power_outage,o_critical_battery,o_compromised_system;3
0.0000065;0.970216;o_power_outage,o_faulty_code,o_compromised_system;3
