Probability;Severity;Risks
0.012;0.988;o_faulty_code;1
0.018;0.982;o_compromised_system;1
0.03;1;o_power_outage;1
0.08;1;o_critical_battery;1
0.29;0.71;o_blackspot;1
0.17;0.83;o_phonenr_not_working;1
0.16;0.84;o_no_credit;1
0.16;0.84;o_unresponsive;1
0.19;0.81;o_gsm_out_of_service;1
0.01;0.99;o_operator_in_blackspot;1
0.000216;0.970216;o_faulty_code,o_compromised_system;2
0.00036;0.988;o_faulty_code,o_power_outage;2
0.00096;0.988;o_faulty_code,o_critical_battery;2
0.00348;0.70148;o_faulty_code,o_blackspot;2
0.00204;0.82004;o_faulty_code,o_phonenr_not_working;2
0.00192;0.82992;o_faulty_code,o_no_credit;2
0.00192;0.82992;o_faulty_code,o_unresponsive;2
0.00228;0.80028;o_faulty_code,o_gsm_out_of_service;2
0.00012;0.97812;o_faulty_code,o_operator_in_blackspot;2
0.00054;0.982;o_compromised_system,o_power_outage;2
0.00144;0.982;o_compromised_system,o_critical_battery;2
0.00522;0.69722;o_compromised_system,o_blackspot;2
0.00306;0.81506;o_compromised_system,o_phonenr_not_working;2
0.00288;0.82488;o_compromised_system,o_no_credit;2
0.00288;0.82488;o_compromised_system,o_unresponsive;2
0.00342;0.79542;o_compromised_system,o_gsm_out_of_service;2
0.00018;0.97218;o_compromised_system,o_operator_in_blackspot;2
0.0024;0.9976;o_power_outage,o_critical_battery;2
0.0087;0.71;o_power_outage,o_blackspot;2
0.0051;0.83;o_power_outage,o_phonenr_not_working;2
0.0048;0.84;o_power_outage,o_no_credit;2
0.0048;0.84;o_power_outage,o_unresponsive;2
0.0057;0.81;o_power_outage,o_gsm_out_of_service;2
0.0003;0.99;o_power_outage,o_operator_in_blackspot;2
0.0232;0.71;o_critical_battery,o_blackspot;2
0.0136;0.83;o_critical_battery,o_phonenr_not_working;2
0.0128;0.84;o_critical_battery,o_no_credit;2
0.0128;0.84;o_critical_battery,o_unresponsive;2
0.0152;0.81;o_critical_battery,o_gsm_out_of_service;2
0.0008;0.99;o_critical_battery,o_operator_in_blackspot;2
0.0493;0.5893;o_blackspot,o_phonenr_not_working;2
0.0464;0.5964;o_blackspot,o_no_credit;2
0.0464;0.5964;o_blackspot,o_unresponsive;2
0.0551;0.5751;o_blackspot,o_gsm_out_of_service;2
0.0029;0.7029;o_blackspot,o_operator_in_blackspot;2
0.0272;0.6972;o_phonenr_not_working,o_no_credit;2
0.0272;0.6972;o_phonenr_not_working,o_unresponsive;2
0.0323;0.6723;o_phonenr_not_working,o_gsm_out_of_service;2
0.0017;0.8217;o_phonenr_not_working,o_operator_in_blackspot;2
0.0256;0.7056;o_no_credit,o_unresponsive;2
0.0304;0.6804;o_no_credit,o_gsm_out_of_service;2
0.0016;0.8316;o_no_credit,o_operator_in_blackspot;2
0.0304;0.6804;o_unresponsive,o_gsm_out_of_service;2
0.0016;0.8316;o_unresponsive,o_operator_in_blackspot;2
0.0019;0.8019;o_gsm_out_of_service,o_operator_in_blackspot;2
0.0000065;0.970216;o_faulty_code,o_compromised_system,o_power_outage;3
0.0000173;0.970216;o_faulty_code,o_compromised_system,o_critical_battery;3
0.0000626;0.6888534;o_faulty_code,o_compromised_system,o_blackspot;3
0.0000367;0.8052793;o_faulty_code,o_compromised_system,o_phonenr_not_working;3
0.0000346;0.8149814;o_faulty_code,o_compromised_system,o_no_credit;3
0.0000346;0.8149814;o_faulty_code,o_compromised_system,o_unresponsive;3
0.000041;0.785875;o_faulty_code,o_compromised_system,o_gsm_out_of_service;3
0.0000022;0.9605138;o_faulty_code,o_compromised_system,o_operator_in_blackspot;3
0.0000288;0.9856288;o_faulty_code,o_power_outage,o_critical_battery;3
0.0001044;0.70148;o_faulty_code,o_power_outage,o_blackspot;3
0.0000612;0.82004;o_faulty_code,o_power_outage,o_phonenr_not_working;3
0.0000576;0.82992;o_faulty_code,o_power_outage,o_no_credit;3
0.0000576;0.82992;o_faulty_code,o_power_outage,o_unresponsive;3
0.0000684;0.80028;o_faulty_code,o_power_outage,o_gsm_out_of_service;3
